date,state,PRC,AVGT,MAXT,MINT
3/3/18,AK,0.06593750000000001,17.02127659574468,23.291666666666668,10.443181818181818
3/4/18,AK,0.036280487804878046,16.47872340425532,25.48314606741573,8.352059925093632
3/5/18,AK,0.02832298136645963,16.925133689839573,25.875,8.136363636363637
3/6/18,AK,0.050484848484848494,18.946524064171122,26.193181818181817,10.954545454545455
3/7/18,AK,0.046347305389221556,19.54787234042553,27.23507462686567,12.313432835820896
3/8/18,AK,0.18113207547169813,19.20212765957447,26.25,11.098484848484848
3/9/18,AK,0.1570552147239264,19.73404255319149,26.852830188679246,13.984905660377358
3/15/18,AK,0.08873417721518988,19.8994708994709,28.556818181818183,12.071969696969697
3/17/18,AK,0.023850931677018638,20.96825396825397,31.557620817843866,12.773234200743495
3/18/18,AK,0.041768292682926825,25.280423280423282,33.45220588235294,18.455882352941178
3/19/18,AK,0.1405487804878049,25.455026455026456,32.02952029520295,19.343173431734318
3/21/18,AK,0.026196319018404912,16.889473684210525,26.646840148698885,7.940520446096654
3/23/18,AK,0.010736196319018405,19.86315789473684,31.89667896678967,8.808118081180812
3/24/18,AK,0.01812121212121212,18.099476439790575,29.915750915750916,7.131868131868132
3/3/18,AL,0.0003745318352059925,51.92307692307692,66.6144578313253,35.80722891566265
3/4/18,AL,0.0009090909090909091,54.23076923076923,69.30588235294118,36.56470588235294
3/5/18,AL,0.031315789473684214,57.07692307692308,68.4047619047619,43.98809523809524
3/6/18,AL,0.4809352517985611,59.15384615384615,66.52325581395348,47.80232558139535
3/7/18,AL,0.16341911764705883,46.84615384615385,57.74698795180723,37.433734939759034
3/8/18,AL,0.0012030075187969924,42.38461538461539,53.674698795180724,30.771084337349397
3/9/18,AL,0.0012156862745098039,46.69230769230769,60.5,29.095238095238095
3/15/18,AL,0.0006225680933852142,49.53846153846154,63.71951219512195,29.878048780487806
3/17/18,AL,0.14799256505576208,65.53846153846153,75.11538461538461,52.51948051948052
3/18/18,AL,0.09920318725099601,65.0,74.2625,55.0875
3/19/18,AL,0.25284671532846714,65.6923076923077,73.85882352941177,56.83529411764706
3/21/18,AL,0.02388679245283019,47.53846153846154,60.02298850574713,37.71264367816092
3/23/18,AL,0.0016279069767441861,52.61538461538461,65.58024691358025,36.55555555555556
3/24/18,AL,0.003372549019607843,62.84615384615385,72.3048780487805,47.073170731707314
3/3/18,AR,0.000125,50.125,61.5,35.416666666666664
3/4/18,AR,0.033280000000000004,49.125,60.40229885057471,39.41379310344828
3/5/18,AR,0.2572696245733788,56.0,61.93617021276596,43.56382978723404
3/6/18,AR,0.03537878787878788,46.5,67.73626373626374,34.285714285714285
3/7/18,AR,0.0006048387096774195,38.625,58.53409090909091,31.40909090909091
3/8/18,AR,0.0005327868852459017,41.875,53.168539325842694,28.528089887640448
3/9/18,AR,0.00023904382470119523,53.875,60.73626373626374,32.2967032967033
3/15/18,AR,8.264462809917356e-05,57.125,64.20454545454545,32.98863636363637
3/17/18,AR,0.012510638297872342,57.25,73.2,45.9625
3/18/18,AR,0.041478260869565214,51.875,70.02352941176471,45.082352941176474
3/19/18,AR,0.25371527777777775,53.125,65.36781609195403,46.6551724137931
3/21/18,AR,0.004631147540983606,46.875,57.89887640449438,36.98876404494382
3/23/18,AR,0.001506276150627615,61.0,69.4367816091954,41.08045977011494
3/24/18,AR,0.0014718614718614723,67.0,73.9080459770115,50.97701149425287
3/3/18,AZ,0.0005194805194805195,45.68888888888889,62.42168674698795,34.73652694610779
3/4/18,AZ,0.0010204081632653062,39.166666666666664,55.688235294117646,31.49122807017544
3/5/18,AZ,0.0001288659793814433,37.48888888888889,56.7710843373494,27.226190476190474
3/6/18,AZ,0.0005089058524173028,42.18888888888889,61.333333333333336,29.5
3/7/18,AZ,0.0005141388174807199,45.77777777777778,63.751479289940825,32.76190476190476
3/8/18,AZ,0.0033678756476683944,49.3,67.22699386503068,37.603658536585364
3/9/18,AZ,0.0036103896103896107,49.955555555555556,68.4311377245509,36.94642857142857
3/15/18,AZ,0.01144,41.166666666666664,57.5625,38.07453416149068
3/17/18,AZ,0.0014480874316939892,42.355555555555554,57.877300613496935,34.33742331288344
3/18/18,AZ,0.04742268041237114,36.56666666666667,52.484472049689444,31.803680981595093
3/19/18,AZ,0.00891304347826087,39.48888888888889,56.30722891566265,28.283132530120483
3/21/18,AZ,0.0035040431266846364,52.21111111111111,69.53216374269006,38.70175438596491
3/23/18,AZ,0.018937329700272478,52.7,69.14285714285714,45.90184049079755
3/24/18,AZ,0.001396011396011396,49.355555555555554,65.82692307692308,41.51592356687898
3/3/18,CA,0.33577373211963596,35.46474358974359,46.935222672064775,32.59146341463415
3/4/18,CA,0.13340369393139842,35.52229299363057,49.52436647173489,29.249027237354085
3/5/18,CA,0.0053125,40.03492063492064,56.13953488372093,29.692456479690524
3/6/18,CA,0.010290076335877862,46.629746835443036,63.04950495049505,35.07539682539682
3/7/18,CA,0.006129518072289157,49.11392405063291,63.8078431372549,39.98235294117647
3/8/18,CA,0.0986241134751773,49.55379746835443,63.19,41.704819277108435
3/9/18,CA,0.08050691244239631,49.07911392405063,62.14549180327869,42.06352459016394
3/15/18,CA,0.28807259073842306,38.36190476190476,49.9453125,34.84405458089669
3/17/18,CA,0.22915875169606512,36.85031847133758,49.518367346938774,32.70816326530612
3/18/18,CA,0.06207736389684815,39.092063492063495,52.71912350597609,30.55688622754491
3/19/18,CA,0.005912636505460219,44.74920634920635,59.28712871287129,33.59244532803181
3/21/18,CA,0.586757457846952,49.19047619047619,58.41279069767442,44.95145631067961
